Name,Width,Height,Depth,Artist Name,Country,Price,Category
Sgraffito 1404 100x70cm,100,70,0.1,Michael Lentz,Germany,$560,Drawings
the Dark Comes in the Lights go Out,27.9,35,0.3,Shelton Walsmith,United States,"$1,000",Drawings
"HEAD No. 249, 100x70 cm, from the series ""dark women""",70,100,0.1,Michael Lentz,Germany,$860,Drawings
Metadrawing 111,30,40,0.1,Frederic Belaubre,France,$170,Drawings
"Me, Book 7 #29",12.7,20.3,0.3,Heather Goodwind,United States,$315,Drawings
Coastal Headland5,37,55,0.1,Soo Beng Lim,Australia,$680,Drawings
espresso,20,29,1,Ilian Savkov,Bulgaria,$810,Drawings
line of two in one,14.5,21,0.1,Bert Eelen,Belgium,$904,Drawings
Portrait of Flor,45,60,0.1,Guido Mauas,Argentina,$710,Drawings
body of art #2077,50,70,0.1,Gianfranco Fusari,Italy,$395,Drawings
Deficit 06,37,54,0.1,Pal Csaba,Hungary,$630,Drawings
Starting Gate,61,48.3,0.3,Shelton Walsmith,United States,"$2,000",Drawings
Study VI,21,29.7,0.1,Davide Cambria,Italy,$150,Drawings
The Free Body 15,29,41,0.1,Frederic Belaubre,France,$160,Drawings
Underwater 59,48.3,38.1,0.5,Ed Freeman,United States,$665,Drawings
Morning Red,55,73,0.1,Sander Steins,Netherlands,"$1,140",Drawings
Cute as a Button2,37,27.5,0.1,Soo Beng Lim,Australia,$510,Drawings
The fall,50,50,1,Oana Rinaldi,Romania,$610,Drawings
Op. 148. interferences serial,150,150,1,Gyula Sági,Germany,"$4,540",Drawings
NUDE No. 3433 (100 x 70 cm),70,100,0.1,Michael Lentz,Germany,$565,Drawings
Panda Enchantment,56,37,0.1,Soo Beng Lim,Australia,"$1,200",Drawings
Blue and Grey Verticals No.3,77,57,0.1,Kevin Jones,,"$5,600",Drawings
Deep in thought 1,29,41,0.1,Frederic Belaubre,France,$160,Drawings
Life force VI,29.7,42,0.1,Genevieve Leavold,United Kingdom,$470,Drawings
Velvet Bottle Green,56,76,0.2,Lali Torma,Canada,$749,Drawings
Surrealist drawing 21-5 - The woman and the horse,29,21,0.1,Frederic Belaubre,France,$160,Drawings
The duckling,29,41,0.1,Frederic Belaubre,France,$160,Drawings
Icy Ball Play,37,27,0.1,Soo Beng Lim,Australia,$510,Drawings
"april 27, 2014",35.6,43.2,2.5,Ronald Rupert Santos,United States,"$1,100",Drawings
Hommage à Gainsborough XVII,60.9,77.5,0.1,Ute Rathmann,Germany,$990,Drawings
Celestial Body 2,41,29,0.1,Frederic Belaubre,France,$170,Drawings
Rose (23:34),21.8,30.2,0.1,Walter Roos,Germany,$420,Drawings
process 1,30.5,43.2,1.3,SANTHOSH C H,India,$430,Drawings
MEDICINE MAN,15,22,1,Mehmet Dere,Turkey,$530,Drawings
The Sunny Spell 4.,29,41,0.1,Frederic Belaubre,France,$160,Drawings
Dormeto & Love,65,50,1,Hildegarde Handsaeme,Belgium,$510,Drawings
"Reconnaissance satellite - Depressio Hellespontica, Mars",29.9,42.5,0.3,Jim Harris,Japan,$270,Drawings
Hommage à Leonor Fini XV,22.1,28.2,0.1,Ute Rathmann,Germany,$580,Drawings
1000 steps,50.8,61,0.1,Ca Lister,Kenya,$170,Drawings
Surrealist Square 21-20,20,20,0.1,Frederic Belaubre,France,$150,Drawings
Alice #2 (22:15),21.8,30.2,0.1,Walter Roos,Germany,$420,Drawings
Abstract composition M321,70,100,0.3,jesús perea,Spain,"$1,460",Drawings
"Sgraffito 726 ""AMERICA""",100,70,0.1,Michael Lentz,Germany,$520,Drawings
Woman looking in the mirror,65,50,0.1,Frederic Belaubre,France,$270,Drawings
contrast,25,25,1,Denny Stoekenbroek,Netherlands,$200,Drawings
Beyond Violet,35,48,0.1,Beate Tubach,Switzerland,$480,Drawings
Wind of love,30,40,0.1,Nelina Trubach-Moshnikova,Switzerland,$430,Drawings
PI 048,50,50,4,Hanna Ten Doornkaat,United Kingdom,"$1,880",Drawings
Bohemios huyen de Montmartre,34,24,0.5,Roberto Gutiérrez Currás,Spain,$505,Drawings
Puffin Wonder,37.5,56,0.1,Soo Beng Lim,Australia,"$1,200",Drawings
Portal - Studies 013,21,29.7,0.1,Naomi Vona,United Kingdom,$260,Drawings
"Eat, Pray ,Love",40,50,0.3,Lee Boyd,United Kingdom,"$2,040",Drawings
Middle Side,94,76.2,1.3,Art Venti,United States,"$3,000",Drawings
The Free Body 20,29,41,0.1,Frederic Belaubre,France,$160,Drawings
portrait series,17,17,0.4,Golnaz AFRAZ,France,$470,Drawings
Best Foot Forward3,27.5,37,0.1,Soo Beng Lim,Australia,$570,Drawings
Study VII,21,29.7,0.1,Davide Cambria,Italy,$150,Drawings
Wrapped in Blue,35,50,0.1,Ana Markovic,Serbia,$160,Drawings
Dibujo N138,42,58,0.3,jesús perea,Spain,$810,Drawings
image-face(model),29.7,41.9,0.3,GyoBeom An,South Korea,$320,Drawings
soundless_03,38,55,0.1,Pal Csaba,Hungary,$630,Drawings
Teapot,53,38,0.2,Denise Sanna,Italy,$170,Drawings
The Phoenix.,30,30,0.1,Frederic Belaubre,France,$150,Drawings
image-face(model),29.7,41.9,0.3,GyoBeom An,South Korea,$370,Drawings
Ancient Ones No.6,29.7,21,0.1,Beate Tubach,Switzerland,$430,Drawings
Sketches For Synthetic Future XIV,41.5,32.5,1,Edith Torony,Romania,$340,Drawings
Drawing 46 - 2021,42,58,0.2,jesús perea,Spain,"$1,260",Drawings
Museum of the home gardens,26.8,41.4,0.1,Mary Cinque,Italy,$320,Drawings
Atomika,29.2,41.9,0.3,KRISS WADDINGTON,United Kingdom,$462,Drawings
Symphonoise,58,70,0.1,Paco Vila  Guillén,Spain,$500,Drawings
Rethink,139.7,69.8,0.3,Maomeii Be,Canada,"$1,097",Drawings
Chessboard 14,42,42,0.4,jesús perea,Spain,"$1,040",Drawings
Figure Study,21,30,0.1,Guido Mauas,Argentina,$480,Drawings
Flourish 15,24,25,0.1,Eryk Giermak,Germany,$270,Drawings
Les fleurs ne parlent pas #3,30,45,0.1,Virginie Gallois,France,"$1,230",Drawings
Hello Kitty!,27,37,0.1,Soo Beng Lim,Australia,$510,Drawings
sealp,56,76,0.1,Olga Gál,,$560,Drawings
Gazing at the mountains from the valley,139.7,69.8,0.3,Maomeii Be,Canada,$920,Drawings
Chocolate Shower,42.5,35.5,0.1,Dietrich Moravec,Germany,$560,Drawings
The Street Conflicts 2,29,21,0.1,Frederic Belaubre,France,$150,Drawings
sunny,26,35,0.2,LOUI JOVER,Australia,$425,Drawings
PEGASUS,70,100,0.1,Christoph Schrein,Germany,"$1,800",Drawings
thinking of...,40,30,0.1,Karoline Kroiß,Germany,$782,Drawings
Nude September 2022,70,50,0.1,Ellen Fasthuber-Huemer,Austria,$300,Drawings
Surfer Life,58.5,41,0.1,Soo Beng Lim,Australia,$998,Drawings
Portal - Studies 010,21,29.7,0.1,Naomi Vona,United Kingdom,$260,Drawings
Pizza Prisma with Surrounding,36,48,0.1,Kevin Gray,Germany,$650,Drawings
The joy of life,21,29,0.1,Frederic Belaubre,France,$160,Drawings
Horse,29.7,42,0.1,Mary Cinque,Italy,$320,Drawings
Le bataillon créole,46,61,0.1,Wilfrid Moizan,Saint Martin,$580,Drawings
Meerkat Loyalty,55,37,0.1,Soo Beng Lim,Australia,$818,Drawings
Purple haze,55.9,76.2,1.3,Yuriy Ibragimov,United States,"$4,750",Drawings
hand studies,21,29.5,0.1,Konrad Biro,Hungary,$150,Drawings
The Reasoning,21,29,0.1,Frederic Belaubre,France,$160,Drawings
"velocity series/04 acrylic on paper, 70x50cm",70,50,1,Gyula Sági,Germany,"$1,040",Drawings
Blue Horizontal No.4,77,57,0.1,Kevin Jones,,"$4,800",Drawings
Sgraffito 1194,70,100,0.1,Michael Lentz,Germany,$520,Drawings
"The Ride, Series 22 # 4",61,45.7,0.3,Heather Goodwind,United States,$920,Drawings
Collision,45.7,61,0.3,Vernon Crumrine,United States,$185,Drawings
Seven Colour Abstract No.6,57,76,0.1,Kevin Jones,,"$5,000",Drawings
NUDE 4925 billboard size,70,100,0.1,Michael Lentz,Germany,$690,Drawings
The changing of the coat,50,70,1,Emma Vakarelova,Bulgaria,$590,Drawings
dread girl,42,59,1,Denny Stoekenbroek,Netherlands,$320,Drawings
Light Charger III (study),63,91,0.1,Zil Hoque,United Kingdom,$440,Drawings
"Sgraffito 1077 from the series: ""DAGUERREOTYPES""",70,100,0.1,Michael Lentz,Germany,$470,Drawings
op131017,150,200,1,Gyula Sági,Germany,"$7,550",Drawings
Figure#D17,45.7,61,0.3,Zin Lim,South Korea,$545,Drawings
Just Passing By,16,16,0.1,Frederic Belaubre,France,$150,Drawings
The right of passage 1,15,21,0.1,Frederic Belaubre,France,$150,Drawings
naughty is the new nice,30,42,0.1,Denny Stoekenbroek,Netherlands,$320,Drawings
"Sgraffito 1394 ""ON CLIMATE CHANGE""",70,100,0.1,Michael Lentz,Germany,$560,Drawings
C2059D,29.2,38.1,0.3,David Jones,United Kingdom,$345,Drawings
Paperboy (German paperboy from the Berlin of the roaring twenties),70,105,3,Rufus Krieger,Germany,"$1,700",Drawings
The Portrait (ESA18),29,41,0.1,Frederic Belaubre,France,$150,Drawings
Zwischenzeit No.2,29.7,42,0.1,Beate Tubach,Switzerland,$530,Drawings
Op. 149. interference serial,80,75,1,Gyula Sági,Germany,"$1,050",Drawings
Sgraffito 1435,42,59,0.1,Michael Lentz,Germany,$520,Drawings
The Playful Cat 3,12,20,0.1,Frederic Belaubre,France,$150,Drawings
The Holiday 2,21,29,0.1,Frederic Belaubre,France,$160,Drawings
Dibujo N189,42,58,0.3,jesús perea,Spain,$810,Drawings
Portrait No.44,21,29.7,0.1,Beate Tubach,Switzerland,$340,Drawings
Madita #4,23.5,29.5,0.1,Maria Kleinschmidt,Germany,$710,Drawings
Allegro no.59 (Spiccato),45.7,61,0.3,Zin Lim,South Korea,$545,Drawings
Midnight Garden - Le jardin de minuit,19.8,29,0.3,de Miramon alice,France,$750,Drawings
Mother and Child (ESA),24,32,0.1,Frederic Belaubre,France,$150,Drawings
The Bomb Shelter 3,21,29,0.1,Frederic Belaubre,France,$160,Drawings
Score,62.5,102,0.1,Nigel Bird,United Kingdom,"$8,100",Drawings
obsession,42,59,1,Denny Stoekenbroek,Netherlands,$370,Drawings
Novelty 8,15,21,0.1,Frederic Belaubre,France,$150,Drawings
Revitalisation BC3,29,41,0.1,Frederic Belaubre,France,$165,Drawings
Venus Probe - Aphrodite Terra.,34.9,24.8,0.3,Jim Harris,Japan,$270,Drawings
Into The Woods II,90,120,3,Rufus Krieger,Germany,"$3,400",Drawings
"Head No. 217 (100 x 70 cm), billboard size",70,100,0.1,Michael Lentz,Germany,$520,Drawings
hello,28.5,28.5,0.1,ivana flores,Spain,$560,Drawings
ON DUTY. Original Drawing.,121.9,91.4,5.1,Oscar Manuel Vargas,United States,"$3,310",Drawings
Portrait 18,30.5,41.9,0.3,Surabhi Gaikwad,Qatar,$410,Drawings
Underwater Sanctuary2,40.5,58,0.1,Soo Beng Lim,Australia,"$1,800",Drawings
appeal,48.3,68.6,2.5,Boicu Marinela,Romania,"$1,040",Drawings
The Free Body 22,29,41,0.1,Frederic Belaubre,France,$160,Drawings
Drawing 50 - 2021,42,58,0.1,jesús perea,Spain,"$1,260",Drawings
The Dream,21,29,0.1,Frederic Belaubre,France,$150,Drawings
"""Spellbound by Unknown Flowers""",92,92,3,Heidi P,Denmark,"$2,620",Drawings
Big Surprise 2,110,72,0.1,Sander Steins,Netherlands,"$1,660",Drawings
secret agreement,70,50,0.1,Rudolf Janák,Czech Republic,$380,Drawings
Susanna #G629,35,50,1,Gianfranco Fusari,Italy,"$1,080",Drawings
"Communications Outpost - Rossak Planitia, Titan.",29.2,41.9,0.3,Jim Harris,Japan,$270,Drawings
Sgraffito 1423,70,100,0.1,Michael Lentz,Germany,$560,Drawings
Uncertainty 8,21,29,0.1,Frederic Belaubre,France,$150,Drawings
Reinvent yourself,137.2,66,0.3,Maomeii Be,Canada,$980,Drawings
Portrait of Beijing Opera actresses,45,63,0.1,Weillie Wu,China,"$4,850",Drawings
Birdland 3,29,41,0.1,Frederic Belaubre,France,$175,Drawings
Hommage to Matisse #014,38.1,27.9,0.3,David Jones,United Kingdom,$375,Drawings
Red Canoe,39.5,40,0.1,Beate Tubach,Switzerland,$520,Drawings
"EMOTIONAL FIELD LINES - 7 AND 1 DAY, N°01",21.1,24.9,0.1,Slavomir Zombek,Slovakia,$350,Drawings
The Present Follows the Past,61,45.7,0.1,Robert Schmid,United States,$565,Drawings
bungalow,30,40,0.1,pechane sumie,France,$300,Drawings
Ink on Paper A2,42,59.4,0.1,Frederic Belaubre,France,$440,Drawings
Drawing 398,40,60,0.1,Sumit Mehndiratta,India,$430,Drawings
The Abstract Head (ESA2),29,41,0.1,Frederic Belaubre,France,$150,Drawings
Light Charger II (study),63,91,0.1,Zil Hoque,United Kingdom,$440,Drawings
Passages 14,21,29,0.1,Frederic Belaubre,France,$160,Drawings
In Suspension 3,21,29,0.1,Frederic Belaubre,France,$160,Drawings
The seated figure 2,15,21,0.1,Frederic Belaubre,France,$150,Drawings
Geese Dance2,56,37,0.1,Soo Beng Lim,Australia,$818,Drawings
The Mistral BC14,29,41,0.1,Frederic Belaubre,France,$170,Drawings
Dibujo N176,42,58,0.3,jesús perea,Spain,$810,Drawings
AE-1,28,20,0.2,LOUI JOVER,Australia,$425,Drawings
The Tightrope Walker -La Funambola,43,32,1,Sonia Marialuce Possentini,Italy,$370,Drawings
ROBE 569 100 x 70 cm,70,100,0.1,Michael Lentz,Germany,$520,Drawings
The Country Cottage,41,29,0.1,Frederic Belaubre,France,$150,Drawings
Portrait 14,22.9,30.5,0.3,Surabhi Gaikwad,Qatar,$390,Drawings
Beckford Bottle Shop III,59.4,42,0.1,Mary Cinque,Italy,$520,Drawings
Sketches For Synthetic Future XIII,41.5,32.5,1,Edith Torony,Romania,$340,Drawings
I see the ocean. Я вижу океан.,66,51,0.1,Victoria Golovina,Netherlands,$760,Drawings
Face to face 4p,84,59.4,0.1,Benedicte Gele,France,"$1,650",Drawings
Portrait #G2021,50,70,1,Gianfranco Fusari,Italy,$595,Drawings
dessin n°3 partie d'un nu de Giacometti puis impro...,21,29,1,DOMINAULT EVELYNE,France,$200,Drawings
Nude by the Sea,29,62,0.3,Jelena Djokic,Serbia,$315,Drawings
The Mistral BC11,29,41,0.1,Frederic Belaubre,France,$170,Drawings
Pluto Surface Probe - Pandemonium Dorsa.,34.9,24.8,0.3,Jim Harris,Japan,$220,Drawings
Circles,20,20,0.1,Karoline Kroiß,Germany,$464,Drawings
image-face(model),29.7,41.9,0.3,GyoBeom An,South Korea,$320,Drawings
untitled/drawing,48.3,61,2.5,Ronald Rupert Santos,United States,"$1,100",Drawings
Portrait of women,7.5,7.5,50,Weillie Wu,China,"$2,010",Drawings
Organic XVII-V-XIV I,29.7,21,0.1,Marijah Bac Cam,France,$335,Drawings
Always cuddle,65,50,0.1,Olga Gál,,$530,Drawings
The Mistral BC5,21,28,0.1,Frederic Belaubre,France,$160,Drawings
Appropriations of geomorphological languages nº7,23,25,0.1,David Molina-Molina,Venezuela,$230,Drawings
#07152020,27.9,35.6,1.3,Mikhail Gubin,United States,$270,Drawings
"Alone, Book 7 #12",12.7,20.3,0.3,Heather Goodwind,United States,$315,Drawings
Line drawing leaves #5,21.1,29.7,0.3,Elena Blanco,United Kingdom,$540,Drawings
Chair and Neon Clock,55.9,76.2,0.3,Michael Pfleghaar,United States,"$1,080",Drawings
Gold And White Waves 2018,29.7,21,0.1,Marijah Bac Cam,France,$325,Drawings
The Green Abstract,29,41,0.1,Frederic Belaubre,France,$150,Drawings
image-face(model),29.7,41.9,0.3,GyoBeom An,South Korea,$370,Drawings
Composition No. 277,41.9,59.7,0.3,Sumit Mehndiratta,India,$580,Drawings
Ré,12.9,18,0.1,Armand Brac,France,$150,Drawings
Baywatch. Один против течения.,102,72,0.1,Victoria Golovina,Netherlands,$940,Drawings
Man (Adam - Hommage to Michelangelo),48.3,38.1,0.3,David Jones,United Kingdom,$355,Drawings
Sgraffito 1138 100x70cm,70,100,0.1,Michael Lentz,Germany,$520,Drawings
Hommage à Otto Dix X,42.7,34.7,0.1,Ute Rathmann,Germany,$460,Drawings
Life,139.7,68.8,0.3,Maomeii Be,Canada,"$1,070",Drawings
Life Force IV,27.9,42,0.1,Genevieve Leavold,United Kingdom,$470,Drawings
Withered tree,48,32,0.1,Federico Cortese,Italy,$400,Drawings
RRRRR,15,22,1,Mehmet Dere,Turkey,$670,Drawings
The Student 1,12,20,0.1,Frederic Belaubre,France,$150,Drawings
Portal - Studies 001,21,29.7,0.1,Naomi Vona,United Kingdom,$260,Drawings
Snow Catch,27,37,0.1,Soo Beng Lim,Australia,$510,Drawings
Surrealist Square 21-3 The Lovers,20,20,0.1,Frederic Belaubre,France,$150,Drawings
face it,21,30,1,Denny Stoekenbroek,Netherlands,$175,Drawings
Grey Square,70,50,0.1,Kevin Jones,,"$4,400",Drawings
Purple and Grey Verticals No.2,76,56,0.1,Kevin Jones,,"$5,000",Drawings
Tristian and Isolthe,21,30,1,Andreas Giannoutsos,Greece,"$1,200",Drawings
Remains of the dream,152.4,152.4,2.5,Izabella Hornung,United Kingdom,"$6,350",Drawings
africa inspirations,21,21,0.1,ivana flores,Spain,$460,Drawings
Swan Ballet2,40,58.5,0.1,Soo Beng Lim,Australia,$990,Drawings
The Study of Cats 21-10,21,29,0.1,Frederic Belaubre,France,$150,Drawings
Composition No. 250,55.9,76.2,0.3,Sumit Mehndiratta,India,$860,Drawings
ADMIN,70,84,0.1,Vicente Aguado,United Kingdom,$390,Drawings
Revitalisation BC6,29,41,0.1,Frederic Belaubre,France,$165,Drawings
YoniLingam Union. ЙониЛингам Союз. 林加姆,50,70.5,0.1,Victoria Golovina,Netherlands,$760,Drawings
Saludos (pop),75,100,1,Rufus Krieger,Germany,"$2,000",Drawings
Glitch drawing no.4,27.9,38.1,0.3,Jamie Gray,United States,$135,Drawings
The Gust Of Wind 2,29,41,0.1,Frederic Belaubre,France,$160,Drawings
Myron Discobolus #002,29.2,41.9,0.3,David Jones,United Kingdom,$365,Drawings
Undulation,58.4,73.7,0.3,Mary Wagner,United States,$665,Drawings
POSTPONED AND FORGOTTEN N°03,21.1,24.9,0.3,Slavomir Zombek,Slovakia,$350,Drawings
Abstract 21-11,21,29,0.1,Frederic Belaubre,France,$160,Drawings
Night Tags # 3,70,100,0.1,Mister Artsy Graffiti Street Art Amsterdam,Netherlands,$380,Drawings
underground,111,144,0.2,LOUI JOVER,Australia,"$1,800",Drawings
Anemones,70,70,0.1,Sabina Sinko,,$690,Drawings
FlowerWatch,70,100,0.1,Mister Artsy Graffiti Street Art Amsterdam,Netherlands,$450,Drawings
Portal - Studies 024,29.7,42,0.1,Naomi Vona,United Kingdom,$470,Drawings
snow,21,29,0.1,LOUI JOVER,Australia,$425,Drawings
Sgraffito 1420,70,100,0.1,Michael Lentz,Germany,$520,Drawings
Chessboard 12,42,42,0.4,jesús perea,Spain,"$1,040",Drawings
The Study of Cats 21-1,21,29,0.1,Frederic Belaubre,France,$150,Drawings
daniel craig 2021,30,40,0.1,pechane sumie,France,$370,Drawings
Prototype.,41.9,29.2,0.3,Jim Harris,Japan,$270,Drawings
Empyrean 3,70,100,0.1,Veronika Cherednychenko,Ukraine,$940,Drawings
Sgraffito 919 100x70cm,100,70,0.1,Michael Lentz,Germany,$520,Drawings
Portrait of a Lithuania Girl,37.5,55,0.1,Weillie Wu,China,"$2,210",Drawings
box,40,40,0.1,Karoline Kroiß,Germany,$700,Drawings
La mouche : la croqueuse,22.9,30.5,2.5,B A H M A N,,$350,Drawings
Nude July 2022 Nr. 6,42,59.4,0.1,Ellen Fasthuber-Huemer,Austria,$300,Drawings
"GIVE ME BACK MY TOKENS, DUDE!",55,60,0.1,Vicente Aguado,United Kingdom,$300,Drawings
Exposed 4,15,21,0.1,Frederic Belaubre,France,$150,Drawings
"Autonomous Reconnaissance Probe - Alphesiboea Linea, Pluto.",29.2,41.9,0.3,Jim Harris,Japan,$270,Drawings
Newington Green meets West Africa Festival II,42,59.4,0.1,Mary Cinque,Italy,$510,Drawings
HORIZONTAL BLUE SUSPENSION 7,76.2,55.9,0.3,Terri Dilling,United States,"$1,050",Drawings
waterscopie#31,19.3,28,1.5,Dominique Vangilbergen,Germany,$645,Drawings
View from my window,31,23,0.1,Johannes Van Uden,Netherlands,$480,Drawings
Kentish Town,42,30,0.1,louise camrass,United Kingdom,$710,Drawings
Capitalist Dream (drawing collage),90,90,1.7,Dirk Kruithof,Australia,$850,Drawings
kiss,14,14,0.1,Han Xiao,Spain,$219,Drawings
Spring jump !,50,65,0.1,Olga Gál,,$545,Drawings
The Bomb Shelter 2,21,29,0.1,Frederic Belaubre,France,$160,Drawings
"Cyclist, Winter, Prospect Park, Brooklyn",40.6,54.9,0.8,Evan Sklar,United States,$980,Drawings
Hommage à Munch XVI,41.6,59,0.1,Ute Rathmann,Germany,$840,Drawings
Upside Down 21,24,32,0.1,Frederic Belaubre,France,$160,Drawings
Upside Down 11,24,32,0.1,Frederic Belaubre,France,$160,Drawings
Wideline-50,22.1,22.1,0.3,Shanmukha Inkas,Qatar,$250,Drawings
NUDE 4924 billboard size,70,100,0.1,Michael Lentz,Germany,$565,Drawings
Changes 2,50,70,0.3,Melinda Matyas,United Kingdom,"$2,210",Drawings
The Land of Horses 8,41,29,0.1,Frederic Belaubre,France,$200,Drawings
Empyrean,70,70,1,Veronika Cherednychenko,Ukraine,$940,Drawings
Surrealist Square 21-6,20,20,0.1,Frederic Belaubre,France,$150,Drawings
op181220.,50,35,1,Gyula Sági,Germany,"$1,560",Drawings
The Garden Sketch 5,21,29,0.1,Frederic Belaubre,France,$150,Drawings
FACE,21,30,0.1,Ángel Rivas,Spain,$150,Drawings
red tones,25,34,0.2,LOUI JOVER,Australia,$495,Drawings
Memories II,71.1,121.9,0.3,Andrada Anghel,Canada,"$1,530",Drawings
Allegro no. 185-1,35,42,0.3,Zin Lim,South Korea,$580,Drawings
POSTPONED AND FORGOTTEN N°02,21.1,24.9,0.3,Slavomir Zombek,Slovakia,$350,Drawings
Galaxy Goddess,29.2,41.9,0.3,KRISS WADDINGTON,United Kingdom,$438,Drawings
"Sgraffito 723 ""DECONSTRUCTING DONALD""",100,70,0.1,Michael Lentz,Germany,$520,Drawings
Over The Hill II,55.9,76.2,0.3,Peggy Lee,United States,"$1,250",Drawings
JOY,18,19,0.2,Rocio Navarro,France,$470,Drawings
Horse series 22061,42,59.5,0.1,Konrad Biro,Hungary,$320,Drawings
Ultramarine #5,17.3,24.9,0.3,Elena Blanco,United Kingdom,$250,Drawings
Portrait of tibetan women,28,35,0.1,Weillie Wu,China,"$3,270",Drawings
Great Dane Lou (Green),70,105,3,Rufus Krieger,Germany,"$1,710",Drawings
shades of blue (1),92,71,0.5,Hanna Ten Doornkaat,United Kingdom,"$3,050",Drawings
seeks,79,111,0.2,LOUI JOVER,Australia,"$1,800",Drawings
Metadrawing 109,21,29,0.1,Frederic Belaubre,France,$150,Drawings
Gold wing nr5,38.1,40.6,0.3,Izabella Hornung,United Kingdom,$360,Drawings
W2022,25.4,38.1,0.3,David Jones,United Kingdom,$345,Drawings
Indy Cat,27,37,0.1,Soo Beng Lim,Australia,$510,Drawings
Elusive dance,50.8,61,2.3,Lia Chechelashvili,Georgia,"$3,770",Drawings
Red Amaryllis on Green,76.2,111.8,0.3,Michael Pfleghaar,United States,"$2,170",Drawings
A full case of jungle,18.3,26.9,0.2,Armand Brac,France,$200,Drawings
mother with child,100,100,4,Tepe Kraus,Germany,"$1,710",Drawings
Faces of Peace 6,15,21,0.1,Frederic Belaubre,France,$150,Drawings
Street Musician,25,35,1,Ilian Savkov,Bulgaria,$430,Drawings
