Name,Width,Height,Depth,Artist Name,Country,Price,Category
Color synergy III,96.5,96.5,5,Ihor Soloviov,Poland,"$2,740",Sculptures
Octahedron,45.7,45.7,45.7,Kevin Caron,United States,"$2,510",Sculptures
Wired,38.1,218.4,20.3,Betty McGeehan,United States,"$2,150",Sculptures
Surrogate Sound May Destroy,50.8,35.6,6.3,Genna Gurvich,United States,"$5,350",Sculptures
Invasion,100,100,5,Nazar Symotiuk,Poland,"$3,065",Sculptures
Penetration X,100,100,5,Ihor Soloviov,Poland,"$3,340",Sculptures
love and rockets,60,60,3,Zalo Kappa,Spain,"$1,360",Sculptures
The Ocean Blue,90,118,3,Anna Sidi-Yacoub,Ireland,"$1,660",Sculptures
ANGE ET DEMON,55,93,7,Artist-painter Tone,Canada,"$2,210",Sculptures
Black metastases,180,60,5,Nazar Symotiuk,Poland,"$3,000",Sculptures
PRIMAVERA,18,75,14,Francesca Dalla Benetta,Mexico,"$2,710",Sculptures
Gathering #1,45.7,45.7,7.6,Betty McGeehan,United States,$880,Sculptures
Desert of waves,23.4,23.4,5.1,Swapna Namboodiri,Qatar,$200,Sculptures
Tiki III,61,61,2.5,Scott Troxel,United States,"$2,810",Sculptures
Hoping No.2,320,299.7,215.9,Wenqin Chen,,"$53,051",Sculptures
Light Falling Through Trees II,100,100,40,Ian Turnock,United Kingdom,"$4,340",Sculptures
Interactive mobile 0067 position C,122,122,5,Manuel Izquierdo,Spain,"$4,135",Sculptures
Wind Trap,44,154,16,Juan López Salvador,Spain,"$6,550",Sculptures
Viva la Vida No.3 #decks,39,79,0.7,Beate Garding Schubert,Germany,"$1,360",Sculptures
Reverie 1,45,57,41,Frans Muhren,Netherlands,"$3,250",Sculptures
Hollows 5,34,25,28,Sharon Brill,Israel,"$5,040",Sculptures
Time I,50,100,22,Eddie Roberts,United Kingdom,"$12,750",Sculptures
Untitled (6a),27,45,1,Naja Utzon Popov,Denmark,"$1,500",Sculptures
JULIET - THE ROYAL BALLET COLLECTION,50,160,25,Michael James Talbot,United Kingdom,"$28,000",Sculptures
Life is Beautiful,83.8,22.9,7.6,Mary Jo McGonagle,United States,"$3,200",Sculptures
HARLEQUIN,24,65,24,Michael James Talbot,United Kingdom,"$25,750",Sculptures
Abstract sculpture [Ceramics 030],30,26,2,Koen Lybaert,Belgium,$940,Sculptures
Point of View,30,69.1,24.9,Paul Stein,South Africa,"$3,675",Sculptures
Orange,9,21,10,Tomoya Nakano,Japan,"$2,873",Sculptures
664 Xyloglyphe,70,80,3,Félix Hemme,France,"$2,910",Sculptures
Figurative Vessel I,17.8,30.5,17.8,Heidi Lanino,United States,"$2,570",Sculptures
Rocking,33,30.5,12.7,Larry Graeber,United States,"$1,080",Sculptures
"Lily Pond II, art rug, hand knotted",152.4,213.4,1.9,Madison Bloch,United States,"$3,250",Sculptures
Top Dogs,55,29,10,Frans Muhren,Netherlands,"$3,020",Sculptures
Champagne Sunrise,71.1,71.1,2.5,Scott Troxel,United States,"$3,700",Sculptures
"""Symmetrical nuances""",40,120,9,Andrij Savchuk,Ukraine,"$4,000",Sculptures
Gable 5,16,25,0.1,Susan Laughton,United Kingdom,$510,Sculptures
"lost toy, boy",25,50,25,mo cornelisse,Netherlands,"$3,270",Sculptures
Polarbear incognito,30,100,100,Frans Muhren,Netherlands,"$7,550",Sculptures
Tangled Girl,8,19,8,Francesca Dalla Benetta,Mexico,"$1,080",Sculptures
Dark Angel,300,250,155,Frans Muhren,Netherlands,"$30,000",Sculptures
Geometric infinity (h.188),42,188,42,Michele Rizzi,Italy,"$6,910",Sculptures
BF-12-9,12,19.5,12,Benoist Van Borren,France,"$1,800",Sculptures
Culture – Original Swarovski Wall Painting/Sculpture on canvas,44.4,54.6,5.1,GARDANI ART,United States,"$3,110",Sculptures
Large Scale Mirror Scribble Wall Sculpture,365.8,198.1,2.5,Ryan Coleman,United States,"$8,600",Sculptures
Black Farfalle Sphere,30.5,30.5,30.5,Karl Geckler,United States,"$15,960",Sculptures
Another Night In. No:13,50.8,228.6,1,Aby Mackie,Spain,"$2,270",Sculptures
Phonecian,58.4,61,2.5,Scott Troxel,United States,"$2,470",Sculptures
Gracias,87,87,5.7,Virginia Garcia Costa,Switzerland,"$3,550",Sculptures
Sammlerbilder XXII,5.5,7.5,1,Igor Bleischwitz,Germany,$230,Sculptures
La Femmes Black and White I,36.8,8.9,8.9,Heidi Lanino,United States,"$2,570",Sculptures
Lure for Big Fish 3,28,41,20,Damyan Bumbalov,Bulgaria,"$1,910",Sculptures
Icosahedron (vi),81.3,81.3,6.3,Maria Bouquet,Argentina,"$3,409",Sculptures
Portrait 1 – Sir Richard Brinsley Sheridan ,38,54.5,5.5,Paola Bazz,Italy,$790,Sculptures
Between Chaos & Order 6,81.3,208.3,5.1,Aby Mackie,Spain,"$2,670",Sculptures
Kiss,63.5,40.6,10.2,Karolina Maszkiewicz,United States,"$1,370",Sculptures
Trapeze 3,61,111.8,2.5,Scott Troxel,United States,"$3,410",Sculptures
Cosmopolitan (vi),81.3,121.9,6.3,Maria Bouquet,Argentina,"$5,550",Sculptures
Phantom,294,98,5,Nazar Symotiuk,Poland,"$4,950",Sculptures
Il Cervo,14,51,11,Francesca Dalla Benetta,Mexico,"$2,470",Sculptures
from the glassworks: GW17/25 (study for obsidian),100,80,6,Juliet Vles,Switzerland,"$4,460",Sculptures
Circles **,100.3,100.3,3.8,Maria Bouquet,Argentina,"$5,950",Sculptures
Orejuda,35,68,23,Ivan Prieto,Spain,"$3,270",Sculptures
Interactive mobile 0202 position B,100,100,5.1,Manuel Izquierdo,Spain,"$3,875",Sculptures
Just Pretend,81.3,66,5.1,Mary Jo McGonagle,United States,"$2,800",Sculptures
Split structure,60,92,5,Liam Hennessy,United Kingdom,"$1,080",Sculptures
Time Capsule No. 4,17.5,20,17.5,Andy Shaw,United Kingdom,$995,Sculptures
Spiral - Yellow Red - States of mind - Sculpture,96,96,0.3,NYWA ART PROJECT,,"$3,770",Sculptures
Downhill Skier #197,76.2,61,5.1,Bart Soutendijk,United States,"$1,050",Sculptures
Waiting No.2,142.2,350.5,157.5,Wenqin Chen,,"$61,478",Sculptures
Trio Dancers,152.4,124.5,50.8,Vadim Puyandaev,United States,"$63,000",Sculptures
Wall sculpture Butterfly Park 11,63.5,63.5,3.8,Sumit Mehndiratta,India,"$1,260",Sculptures
"""Trauma #1""",51,60,5,Maxim Fomenko,Germany,"$3,520",Sculptures
Forma Ripening,15.2,99.1,15.2,Susan Freda,United States,"$3,710",Sculptures
Registered,34.3,57.1,8.9,Larry Graeber,United States,"$1,600",Sculptures
Wired.,173,175,7,Jeroen Molenaar,Netherlands,"$6,050",Sculptures
Untitled,61,76.2,3.8,Olga Skorokhod,United States,"$3,610",Sculptures
WAVE #2,100,100,0.1,Paslier Morgan,France,"$4,210",Sculptures
Vigor,609.6,274.3,243.8,Kris Gebhardt,United States,"$48,000",Sculptures
Piggy Nation #19 - I Will Save You!,30.5,30.5,2.5,Seunghwui Koo,United States,"$2,000",Sculptures
Abstraction #73 - Et voilà !,50,50,3,Paslier Morgan,France,$790,Sculptures
Zefiro,37,38,10,Andrea Bucci,Italy,"$2,710",Sculptures
The inside space,32,70,4,Soonyong hong,South Korea,"$1,660",Sculptures
Fabulous,91.4,20.3,7.6,Mary Jo McGonagle,United States,"$2,600",Sculptures
Nudus,22,44,15,Inaki San,Spain,"$2,210",Sculptures
"""NEXUS 4.03 - Series Archaic/Modern""",80,80,2.5,Christoph Robausch,Austria,"$1,800",Sculptures
Angel Fish,32,58,11,Andrzej Szymczyk,United Kingdom,"$7,450",Sculptures
Flower [Ceramics 076],25,26,25,Koen Lybaert,Belgium,"$1,720",Sculptures
Cosmopolitan (v),81.3,121.9,6.3,Maria Bouquet,Argentina,"$5,250",Sculptures
Interactive mobile 0201 position A,73,59,4.8,Manuel Izquierdo,Spain,"$2,310",Sculptures
Don Quixote,40,54,30,Frans Muhren,Netherlands,"$4,270",Sculptures
Nailed it Series No. 158,160,50.8,3.2,Sumit Mehndiratta,India,"$2,470",Sculptures
Barn 1,25,21.5,0.1,Susan Laughton,United Kingdom,$510,Sculptures
"Scribble Mirror, Vertical 2",76.2,120.7,0.6,Ryan Coleman,United States,"$4,210",Sculptures
Ornamental Spring -2,25.4,25.4,5.1,Swapna Namboodiri,Qatar,$220,Sculptures
Wind shape,45,180,40,Dmytro Shavala,Poland,"$5,500",Sculptures
White Birds,27.9,7.6,27.9,Heidi Lanino,United States,"$1,400",Sculptures
Atlas,68.6,86.4,2.5,Scott Troxel,United States,"$3,410",Sculptures
Home Faces,100,24,20,Hila Laiser Beja,Israel,"$6,700",Sculptures
Glossamer,10.2,38.1,10.2,Kevin Caron,United States,$730,Sculptures
All you need is love No.7  #decks,39,79,0.7,Beate Garding Schubert,Germany,"$1,360",Sculptures
Abstraction # 87,50,50,3,Paslier Morgan,France,$790,Sculptures
La Giostra,25,37,25,Francesca Dalla Benetta,Mexico,"$2,410",Sculptures
Morningside,45,62,2,James Watts,Australia,"$1,400",Sculptures
Dancing No.2,102.9,350.5,102.9,Wenqin Chen,,"$64,237",Sculptures
Vessel  [Ceramics 134],10,21,10,Koen Lybaert,Belgium,$500,Sculptures
Untitled (1A),35,43,1,Naja Utzon Popov,Denmark,"$1,800",Sculptures
MIDDAY SUN,13,23,24,Michael James Talbot,United Kingdom,"$5,850",Sculptures
Identity,100,100,5,Nazar Symotiuk,Poland,"$2,975",Sculptures
Gathering #26,45.7,61,7.6,Betty McGeehan,United States,"$1,000",Sculptures
Ornamental Spring-1,25.4,25.4,5.1,Swapna Namboodiri,Qatar,$220,Sculptures
Petri,63.5,63.5,5.1,bob bradford,United States,$950,Sculptures
Awakening,66,66,1.2,Ian Turnock,United Kingdom,"$1,490",Sculptures
"""Sora"" - Contemporary Ceramic Sculpture",59.7,114.3,29.2,Beverly Morrison,United States,"$26,250",Sculptures
“ Life of Exquisite Women - Your Fragrance ”,25,53,26.5,Jiahui Wu,China,"$19,000",Sculptures
The Lady and the Hooligan,53.3,61,27.9,Mikhail Gubin,United States,"$3,550",Sculptures
Penetration IV,100,100,5,Ihor Soloviov,Poland,"$3,340",Sculptures
2172,42,50,10,Natalia Popova,France,"$2,110",Sculptures
Abstract block 002,51,51,51,Koen Lybaert,Belgium,"$4,650",Sculptures
Transponder,61,62.2,2.5,Scott Troxel,United States,"$2,370",Sculptures
CARE,15,64,9,Barbara Houwers,Netherlands,"$2,660",Sculptures
Southbank,42,61,2,James Watts,Australia,"$1,800",Sculptures
VENADO,12,30,12,Francesca Dalla Benetta,Mexico,"$1,560",Sculptures
AUTOMA KLK-22,13,30,12,Francesca Dalla Benetta,Mexico,"$1,660",Sculptures
Curling Iron,12.7,86.4,5.1,bob bradford,United States,$980,Sculptures
Collision,100,100,4,Dmytro Shavala,Poland,"$3,100",Sculptures
616 Xyloglyphe,14,30,1,Félix Hemme,France,$640,Sculptures
"""Arctic"" Glass Wall Sculpture",119.4,73.7,10.2,Karo Studios,United States,"$8,650",Sculptures
Homage a Klimt.,30,97,30,Tatyana Binovska,South Africa,"$13,200",Sculptures
Il pescatore,20,60,20,Francesca Dalla Benetta,Mexico,"$3,120",Sculptures
Farfalle Sphere V,30.5,30.5,30.5,Karl Geckler,United States,"$9,500",Sculptures
In The balance 3,58.4,106.7,3.8,Aby Mackie,Spain,"$1,510",Sculptures
Green Floral,27.9,7.6,27.9,Heidi Lanino,United States,"$1,600",Sculptures
"INTERACTIVE MOBILE 0122, position A",100,74,5,Manuel Izquierdo,Spain,"$3,600",Sculptures
Condenser,119.4,129.5,3.2,Scott Troxel,United States,"$4,650",Sculptures
AUTOMA CV-21,11,28,13,Francesca Dalla Benetta,Mexico,"$1,560",Sculptures
Star Wars Peace is Now – Original 3D Sculpture,27.9,25.4,30.5,GARDANI ART,United States,"$1,600",Sculptures
Midnight Sun,45.7,25.4,45.7,Kevin Caron,United States,"$2,740",Sculptures
Gradient ІІ,180,90,4.7,Ihor Soloviov,Poland,"$5,548",Sculptures
“ Happy Life - Rhythm in the Rain NO.1 ”,14.5,44.5,21.5,Jiahui Wu,China,"$9,410",Sculptures
"Diagonal Scribble Mirror Wall Sculpture, Smoke Grey",76.2,120.7,1.3,Ryan Coleman,United States,"$4,500",Sculptures
Between two fields,177,96,0.1,Nazar Symotiuk,Poland,"$8,000",Sculptures
Erupción,36.1,45,29.7,Juan López Salvador,Spain,"$4,500",Sculptures
"""Glacial"" Glass and Metal Wall Sculpture",43.2,94,9.5,Karo Studios,United States,"$3,960",Sculptures
Platon,101.6,101.6,5.1,Maria Bouquet,Argentina,"$5,450",Sculptures
Abstract Cylinder #1,30.5,30.5,30.5,Karl Geckler,United States,"$11,750",Sculptures
Black vessels,30,18,20,Koen Lybaert,Belgium,$790,Sculptures
Butterfly park 9,63.5,63.5,3.8,Sumit Mehndiratta,India,"$1,140",Sculptures
Amethyst,26,56,12,Michael James Talbot,United Kingdom,"$15,250",Sculptures
Sail,40,63,28,Yuriy Kraft,Germany,"$2,070",Sculptures
Golden,90,90,3,Anna Sidi-Yacoub,Ireland,"$1,560",Sculptures
Abstraction 119,50,50,3,Paslier Morgan,France,$790,Sculptures
Pure Noize,10,20,10,Andy Shaw,United Kingdom,$695,Sculptures
30LOVE,119.4,119.4,0.1,Scott Troxel,United States,"$4,499",Sculptures
Pressure in response,170,100,4,Dmytro Shavala,Poland,"$4,940",Sculptures
"Love and other letters, brain teaser",38,22,3,Jessica Moritz,Israel,"$1,850",Sculptures
Seahorse bust,25,42,8,Andrzej Szymczyk,United Kingdom,"$3,000",Sculptures
KALI,15,49,15,Francesca Dalla Benetta,Mexico,"$2,870",Sculptures
Dancing Reflections,90,90,3,Anna Sidi-Yacoub,Ireland,"$1,560",Sculptures
Sometimes,40.6,96.5,1.3,Valerie Wilcox,United States,"$2,370",Sculptures
THREE,28.5,28.5,3.5,Daniel A du Preez,South Africa,$870,Sculptures
Copper Beech,85,85,4,Ian Turnock,United Kingdom,"$2,870",Sculptures
To the Stars,63.5,182.9,61,Sassoon Kosian,United States,"$9,100",Sculptures
levitating bi-structure,23,32,19,Nikolaus Weiler,Germany,"$5,450",Sculptures
timeless,50,150,2,Claudia Geil,Germany,"$2,310",Sculptures
Peeled,22,13,15,Sharon Brill,Israel,"$1,045",Sculptures
Untitled (13a),31,42,1,Naja Utzon Popov,Denmark,"$1,800",Sculptures
Gumdrop,20.3,45.7,20.3,Kevin Caron,United States,$860,Sculptures
untitled 18 09,10,10,6,Jan Hendriks,Netherlands,$330,Sculptures
Untitled,75,80,75,Eddie Roberts,United Kingdom,"$5,500",Sculptures
Inception,125,73,77,Stuart Jones,United Kingdom,"$4,100",Sculptures
Vollig Losgelost edition 1.28,30,36,18,Joris Kuipers,Netherlands,"$1,150",Sculptures
Streamer 89,45,36,25,Frans Muhren,Netherlands,"$3,970",Sculptures
Hitchcock,45.7,128.3,5.1,Scott Troxel,United States,"$2,910",Sculptures
Skin No.2,50.8,50.8,12.7,Kenny Nguyen,United States,"$1,370",Sculptures
Farfalle,39.4,38.1,31.8,Karl Geckler,United States,"$21,550",Sculptures
SEQUENCES 1MG,40,200,40,Cristina Figarola,Spain,"$3,850",Sculptures
Streamer 90,46,67,34,Frans Muhren,Netherlands,"$6,550",Sculptures
Starman and spacetime,120,131,3,Michele Rizzi,Italy,"$7,050",Sculptures
Red dots - Sculpture,100,100,0.4,NYWA ART PROJECT,,"$3,570",Sculptures
Madly in Love,90,120,3,Anna Sidi-Yacoub,Ireland,"$1,710",Sculptures
from the Krypta series: L128  (Avinroe),150,100,13,Juliet Vles,Switzerland,"$10,700",Sculptures
"Les petits champions... ""THE SMALL CHAMPIONS..."" (BLUE)",15,28,15,Olivier Messas,Germany,"$2,970",Sculptures
"Figure No. 1, wood sculpture",12.7,45.7,8.4,Heidi Lanino,United States,"$1,500",Sculptures
Visor,33,58.4,0.1,Larry Graeber,United States,"$3,000",Sculptures
"""Life of Exquisite Women -- Trip in Europe""",56,67,25.5,Jiahui Wu,China,"$26,000",Sculptures
Necklaces 2,40,195,40,Cristina Figarola,Spain,"$3,450",Sculptures
Sketch Ophelia,26,45,12,Michael James Talbot,United Kingdom,"$9,100",Sculptures
Blue dandelion,80,95,6,Dmytro Shavala,Poland,"$2,600",Sculptures
Pinwheel,71.1,71.1,2.5,Scott Troxel,United States,"$3,700",Sculptures
Knitter's Love Knot,50.8,116.8,40.6,Ralph Paquin,United States,"$20,650",Sculptures
Universus (vi),91.4,91.4,3.8,Maria Bouquet,Argentina,"$4,010",Sculptures
Repose,40,73,26,Paul Stein,South Africa,"$2,975",Sculptures
Vessel  [Ceramics 078],11,17,11,Koen Lybaert,Belgium,$500,Sculptures
Blanco,55.9,71.1,3.8,Scott Troxel,United States,"$3,710",Sculptures
sculptural vase by Otar Sharabidze,18,30,18,omer gunes,Turkey,$390,Sculptures
"La Femme in Gray, 4 faces",30.5,10.2,30.5,Heidi Lanino,United States,"$1,600",Sculptures
Forma Interior/Exterior,27.9,127,27.9,Susan Freda,United States,"$4,950",Sculptures
Park in autumn III,160,80,5,Ihor Soloviov,Poland,"$4,553",Sculptures
Data Archeology 14,32,28,18,Harrison Tobon,Colombia,$840,Sculptures
Redeemed,100.3,96.5,2.5,Valerie Wilcox,United States,"$4,550",Sculptures
destiny,144.8,228.6,497.8,Andrius Petkus,Lithuania,"$46,000",Sculptures
MARBELOUS PHILCO RADIO,29,18,15,Roland Baladi,France,"$4,850",Sculptures
Dancing Swan - Limited Edition of 12,20,105,20,Adam Binder,United Kingdom,"$14,830",Sculptures
#7802 Sleeping Dog,78.7,33,5.1,Bart Soutendijk,United States,$780,Sculptures
Éternel,79.8,79.8,1.8,Diana Iancu Torje,France,"$2,410",Sculptures
KB 02,28,26,3,Marko Tusek,Slovenia,$360,Sculptures
Yellow Blue Bird,30.5,30.5,10.2,Heidi Lanino,United States,"$1,500",Sculptures
Ballast (due porte),40,178,40,Lisa Patroni,Australia,"$4,350",Sculptures
De donde eres?,100,100,0.1,Paslier Morgan,France,"$4,210",Sculptures
Speak My Mind,15.2,27.9,0.1,Kris Gebhardt,United States,"$4,210",Sculptures
Bois de Rose,63.5,121.9,3.8,Scott Troxel,United States,"$3,510",Sculptures
The Angler,30,102,22,Paul Stein,South Africa,"$5,040",Sculptures
Mount Rainier - 02,22.9,22.9,2.5,Olga Skorokhod,United States,$410,Sculptures
Scribble Mirror Wall Sculpture,142.2,45.7,0.6,Ryan Coleman,United States,"$4,500",Sculptures
Chili Mask #7 L,70,138,3,Tzachi Nevo,Israel,"$1,075",Sculptures
“Domino effect” (limited edition 2 of 5),150,100,4,Dmytro Shavala,Poland,"$4,600",Sculptures
Pitón III,52.1,54.9,40.6,Juan López Salvador,Spain,"$6,500",Sculptures
Storm,150,100,4,Dmytro Shavala,Poland,"$2,740",Sculptures
Meditation,61,61,2.5,Olga Skorokhod,United States,"$3,210",Sculptures
Dancing Wind,115,58,6,Anna Sidi-Yacoub,Ireland,"$1,660",Sculptures
Salvation 6,50.8,218.4,1.3,Aby Mackie,Spain,"$2,970",Sculptures
MADA,50,160,60,Stefano Mazzolini,Italy,"$3,050",Sculptures
Nosegay,61,61,6.3,bob bradford,United States,"$1,370",Sculptures
Comme chaque été... | « LIKE EVERY SUMMER... » (2020),200,97,2,Olivier Messas,Germany,"$9,600",Sculptures
Confetti - 04,61,76.2,2.5,Olga Skorokhod,United States,"$2,670",Sculptures
Tulip,76.2,101.6,5.1,Kevin Caron,United States,$790,Sculptures
Endless Curve No.5,236,380,145,Wenqin Chen,,"$36,500",Sculptures
from the Krypta series: L126 (lunar lyrics),112,165,30,Juliet Vles,Switzerland,"$13,900",Sculptures
Shades of Woolloongabba #2,19,28,4,James Watts,Australia,$680,Sculptures
Oval reverie,60,50,45,Frans Muhren,Netherlands,"$3,250",Sculptures
Standing mummy (on pedestal),5,40,9,Frans Muhren,Netherlands,"$1,760",Sculptures
ORIGAMI / GEOMETRÍA DEL PENSAMIENTO,110,80,45,CARLOS GARCÍA,Spain,"$11,500",Sculptures
Tai Chi NO.4,15.3,34.5,12,Jiahui Wu,China,"$4,850",Sculptures
Orange Eye,11.4,52.1,0.1,Larry Graeber,United States,$980,Sculptures
Good Food Good Mood,81.3,50.8,7.6,Mary Jo McGonagle,United States,"$2,400",Sculptures
Silver Disk Drops Wall Sculpture Created and Signed by Corey Ellis,182.9,68.6,17.8,Corey Ellis,United States,"$2,555",Sculptures
Architecture [A2],18,29,18,Benoist Van Borren,France,"$1,500",Sculptures
Ceramic sculpture tower N°01,20,160,20,Koen Lybaert,Belgium,"$3,650",Sculptures
Octahedra Pyramid Evolved Original Design No Adhesives Laborious Mathematical Design in Origami Handmade Hollow Form - Interwoven Paper,35.6,35.6,35.6,Vance Houston,United States,$760,Sculptures
On sider,90.5,119.5,7,James Watts,Australia,"$3,350",Sculptures
