Name,Width,Height,Depth,Painter,Country,Price,Category
American Comic Girl in Red & Blue,55.9,73.9,0.3,ROCO Studio,Netherlands,$650,Paintings
Ingobernable,80,100,1,marina del pozo,Spain,"$1,860",Paintings
Isolating,180,120,4,Andy Allen,Czech Republic,"$6,450",Paintings
Abstract No. 190,120,100,2,Claus Dalton Rosenkilde,Denmark,"$3,070",Paintings
Wind in the garden,46,56,2,Elena Ivanova,United Kingdom,$610,Paintings
Vivarium,195,130,2,Adrian Caicedo,France,"$8,500",Paintings
Under the Locust Tree,91.4,91.4,3.8,Michael Rich,United States,"$5,850",Paintings
LITTLE DANCING QUEEN,70,100,2,db Waterman,Netherlands,"$3,770",Paintings
New Beginnings,100,100,3,Michelle Hold,Italy,"$2,410",Paintings
Potted Tree Stump at Night 2,134.6,170.2,0.3,Carlisle Bell,United States,"$6,950",Paintings
Mirrorball,91.4,91.4,5.1,Michael Pfleghaar,United States,"$3,710",Paintings
Imagine,61,76.2,3.8,Brian Nash,United States,"$1,500",Paintings
Boywith owel 3,40,40,2,Iryna Yermolova,United Kingdom,"$1,930",Paintings
The feast,360,250,4,Liviu Mihai,Romania,"$27,000",Paintings
Hot Time,152.4,106.7,5.1,Patrick Harris,United States,"$9,000",Paintings
Devotion,40,30,3,Andreas Giannoutsos,Greece,"$1,600",Paintings
Still The Plough,70,60,4,Andy Waite,United Kingdom,"$1,940",Paintings
Misty Lake,150.1,150.1,1.8,Ursula Radel-Leszczynski,Austria,"$4,950",Paintings
the best time,81,60,4,Chenyang Liu,China,"$1,410",Paintings
Woodland Song,81.3,106.7,6.3,Novi Lim,United States,"$2,150",Paintings
Reflections At The Water’s Edge,86.4,63.5,2.5,Nina Lance,United States,"$4,850",Paintings
Abstract Realism ( # 530 ),91.4,121.9,0.1,Harry Moody,United States,"$5,850",Paintings
Field of Color VII,50.8,61,1.8,Naoko Paluszak,United States,"$1,250",Paintings
Elephant 127,15.2,20.3,0.3,SANTHOSH C H,India,$290,Paintings
warmth II,40,50,2,Johanna Bath,Germany,"$1,130",Paintings
Suppose I say summer,50,65,0.1,Jaume Muñoz,Spain,$554,Paintings
"Portrait PS 118 Into the night, la chaleur  POP SHOWDOWN",81,100,2.5,Bazévian DelaCapucinière,France,"$2,900",Paintings
"View from the glider plane, the sea touching the coast. (Featured)",100,100,2,Nelly van Nieuwenhuijzen,Netherlands,"$2,010",Paintings
Young And Naive,152.4,177.8,2.5,Iarca Gallery,United States,"$9,800",Paintings
Flooded view,18.6,25,0.3,Armand Brac,France,$200,Paintings
Behind the secrets,91.4,121.9,1.8,Nestor Toro,United States,"$4,210",Paintings
Sequentie I - Sequence I,50,50,4,Hilde Goossens,Belgium,"$1,560",Paintings
PETALS ON MY SKIN I,30,30,3,Daniela Schweinsberg,Germany,$620,Paintings
384-20F,77,64,3.5,Saroja La Colorista,Portugal,"$2,160",Paintings
The cage,70,100,3,Simi Gatenio,Greece,"$1,710",Paintings
Within No.3,101.6,149.9,0.3,Kenny Nguyen,United States,"$4,210",Paintings
Show and Tell,106.7,106.7,3.8,Lorette C Luzajic,Canada,"$2,510",Paintings
Sun Dance,55.9,76.2,0.3,Yeachin Tsai,United States,$700,Paintings
Nature is magical 14,30.5,40.6,0.1,SANTHOSH C H,India,$530,Paintings
Memento O,27,35,0.1,Anna McNeil,Spain,"$1,040",Paintings
31/08/2020,80,80,0.1,Fanny Nushka,France,"$4,210",Paintings
Earth And Air 210101,50.8,76.2,3.8,Don Bishop,United States,$900,Paintings
Group Portrait #2,45.7,61,3.8,karen clark,United States,$665,Paintings
The Woman in Blue,198.1,198.1,3.8,Stefanie Kirby,Canada,"$6,400",Paintings
Potential #20,86.6,162.8,0.3,Rodrigue Semabia,United States,"$2,170",Paintings
Dama IV,52,74,0.5,Ximo Gascón,Spain,"$2,610",Paintings
stop,72,127,2,Mijal Zachs,Mexico,"$2,070",Paintings
Knife juggler,55.9,76.2,0.3,Gregory Radionov,United States,"$2,170",Paintings
Winter,50,50,2,Naomi Middelmann,Switzerland,"$1,020",Paintings
Background,136,126,1,Roberto Gutiérrez Currás,Spain,"$1,560",Paintings
Ridi Pagliaccio,50,60,1.5,Marco Ortolan,Argentina,"$1,260",Paintings
contemplation,30,30,0.4,Jitka Anlaufova,Czech Republic,$810,Paintings
Little green dog,81,106,3,Yelena Revis,Australia,"$2,200",Paintings
Back again,40.6,50.8,2.5,Christy Powers,United States,"$1,450",Paintings
Lula,61,76.2,3.8,K Foote,United States,"$1,500",Paintings
"Abstract Expressionism at the Royal Academy of Arts, London",120,120,5,Peter Vahlefeld,Germany,"$8,310",Paintings
mixed media,154.9,76.2,0.3,Jolina Anthony,Spain,$995,Paintings
"Plaines & Mines, d'Ombré 3 (horizontal)",152.4,101.6,3.8,Melisa Taylor,Canada,"$3,450",Paintings
Finding a blue spot,70,100,0.1,Mister Artsy Graffiti Street Art Amsterdam,Netherlands,$380,Paintings
Black 8x,220,150,3,Rosi Roys,Ukraine,"$1,200",Paintings
'A sunny day',80,70.1,2.5,Per Anders,Denmark,"$1,360",Paintings
10.07.2019,40,50,2,Stephane Villafane,Spain,"$2,000",Paintings
DAPHNE,120,130,3,Pirotte Nathalie,Belgium,"$5,130",Paintings
Connected | Monsoon Dio,56,76,0.2,Yuliya Martynova,United Kingdom,"$1,090",Paintings
A Look beyond the Surface. Fantasy,59.9,59.9,1.9,Ursula Radel-Leszczynski,Austria,"$1,040",Paintings
passers by in the winter,150,100,2,Sabina Sinko,,"$3,950",Paintings
SEA BUCKTHORN,90,120,2,Birute Nomeda Stankuniene,Lithuania,"$1,400",Paintings
Fast Moving I,30,25,2,Ronny Broeckx,Belgium,$470,Paintings
double composition,125,110,3.5,Hubert Bujak,Poland,"$3,770",Paintings
Breath me,119.9,100.1,2.5,Ines Klich,Germany,"$1,910",Paintings
Black Stallion,142.2,106.7,0.8,Sharon Pierce McCullough,United States,"$5,850",Paintings
The bees' dance,50,50,0.1,Federico Cortese,Italy,$690,Paintings
Butterfly No.7,100.1,70.1,3.8,Beate Garding Schubert,Germany,"$1,690",Paintings
Variations,18,24,3,Kaoru Shibuta,Japan,$320,Paintings
Autumn Evening II,30.5,38.1,0.3,Alissa Kim Tjen,Canada,$200,Paintings
"Damien's dotty, spotty, puppy dawg (blue on The Daily Telegraph)+ free poem.",57,73,0.1,Juan Sly,United Kingdom,$180,Paintings
The Air was Frangrant,183,100,0.1,Rashna Hackett,United Kingdom,"$2,240",Paintings
The Woods No. 133,22.9,30.5,0.3,Elizabeth Becker,United States,$135,Paintings
Beyond Strock #1073,91.4,61,5.1,Songmi Heart,United States,"$3,210",Paintings
Medidas,140,180,1,Juan Luis Fernández,Spain,"$1,140",Paintings
Silk,30.5,40.5,2,Owen Normand,United Kingdom,"$1,380",Paintings
Hope & Beauty,60,40,1.5,Mandy Racine,Spain,"$2,360",Paintings
4139 Brighton hogs -seascape,30,21.5,0.1,Andres Vivo,Uruguay,$200,Paintings
Beach Balls,200,80,4,Hildegarde Handsaeme,Belgium,"$7,050",Paintings
sea of light,150,150,2,Daphne Verheijke,Netherlands,"$5,950",Paintings
BORROWED BARN FLOOR,152.4,213.4,2.5,Eddie Love,United States,"$15,150",Paintings
Fishes 3,30,30,1,Artur Samofalov,Ukraine,"$1,420",Paintings
The king (autoportrait),120,135,3,Simi Gatenio,Greece,"$3,450",Paintings
Untitled 16,101.6,76.2,2,HyunRyoung Kim,Canada,"$5,250",Paintings
Romantic Sundown Sailing L 1,154.9,83.1,3.8,Peter Nottrott,Germany,"$2,460",Paintings
"Time, Series 30 #33",50.8,40.6,3.8,Heather Goodwind,United States,"$1,180",Paintings
Sinbad's dream,120,80,2,Domenico Antonio Frassineti,Italy,"$3,490",Paintings
Sweetness and light,90,120,2,Lilia Orlova-Holmes,United Kingdom,"$5,850",Paintings
image-face(model),50,71.9,3.8,GyoBeom An,South Korea,"$1,760",Paintings
Composition No. 314,132.1,83.8,2.5,Sumit Mehndiratta,India,"$1,460",Paintings
Emerge,50.8,40.6,0.3,Elizabeth Becker,United States,$715,Paintings
THE REMAINS OF A WINTER DAY,100,120,4,Christian Bahr,Germany,"$3,270",Paintings
The Promises We Should Keep Together (no.2),36,48,0.1,Andrew Weir,Germany,$660,Paintings
Donna 02,30,40,2,Karenina Fabrizzi,Spain,$370,Paintings
relation 82,15.2,20.3,0.3,SANTHOSH C H,India,$295,Paintings
Banana Leaves on Silver,35.6,27.9,0.3,Michael Pfleghaar,United States,$470,Paintings
Man and Ocean,50,70,2,Antoine Renault,France,"$3,260",Paintings
Convolute,101.6,152.4,3.8,Stefanie Kirby,Canada,"$3,150",Paintings
ongoing process,85,120,5,yossi kotler,Israel,"$4,375",Paintings
lotus,120,100,6,artist Chu Van,Vietnam,"$8,410",Paintings
Emerald Parade,61,78,2,Joshua Benmore,United Kingdom,"$1,080",Paintings
Scapula,162,114,1.9,Christian Kabuß,Germany,"$9,800",Paintings
shells and pink heart,162,124,2,Lina Karam,France,"$9,300",Paintings
wall.,60,60,4,Marilina Marchica,Italy,"$1,360",Paintings
Oscillations drawing 9,30,29,0.2,Helen dooley,Sweden,$250,Paintings
Gethsemane,61,61,0.8,Lia Melia,United Kingdom,"$3,300",Paintings
[477] Hell Yes,32,47,0.3,Ralph Lazar,United States,"$1,180",Paintings
Sea Tryptich,180,60,2,Szilvia Banki,Austria,"$1,960",Paintings
Sunset Strip,61,61,3.8,Shellie Garber,United States,$880,Paintings
Dare to open up,100,120,3,Carolina Alotus,Cyprus,"$1,960",Paintings
Sunburst [Abstract N°2760],100,140,4,Koen Lybaert,Belgium,"$5,750",Paintings
Flowers from Valencia,70,70,3.7,Marisa Añon,Spain,$950,Paintings
Sedona Desert,35.6,45.7,2,Vahe Yeremyan,United States,$500,Paintings
Sizzle,70,100,0.1,Karin Goeppert,Germany,$790,Paintings
English Blue Portrait work,53,65.2,2.5,Tomoya Nakano,Japan,"$2,830",Paintings
The monastery courtyard. Meteora,59.9,82.8,2.5,Kseniia Yarovaya,Greece,"$2,210",Paintings
Abstract 378,101.6,101.6,0.3,jingshen you,China,"$1,260",Paintings
Jumper,91.4,71.1,3.8,Ron Cooper,United States,"$1,270",Paintings
Kanazawa,60,60,2,muriel napoli,France,"$2,010",Paintings
3892  Gaucho militar,29,24,0.1,Andres Vivo,Uruguay,$200,Paintings
Kleist,50,60,2,Britta Winkels,Italy,"$1,460",Paintings
Hey! I am back,130,100.1,2.5,Tommy Lennartsson,Sweden,"$3,700",Paintings
Memories about us,70,90,2,Szabo Eszter,Hungary,$960,Paintings
BREAKING OUT OF THE CIRCLE,96,129,0.1,Igor  Eugen Prokop,Hungary,"$9,410",Paintings
Quant Sky 2,138.4,66,3.8,Vahe Yeremyan,United States,"$1,300",Paintings
"Lessines, February 2022",80,80,4,Hilde Goossens,Belgium,"$2,585",Paintings
Last Days of Summer,64.8,64.8,5.1,Novi Lim,United States,"$1,270",Paintings
Un ciel déchiré,50,50,4,Wilfrid Moizan,Saint Martin,"$1,460",Paintings
Flower and girl 38,15.2,20.3,0.1,SANTHOSH C H,India,$290,Paintings
Flower and girl 11,15.2,20.3,0.1,SANTHOSH C H,India,$290,Paintings
For The Love of Mark Rothko,45.7,61,3.8,Todd Schulz,Canada,$885,Paintings
"Rift Valley, Sonde 1",76.2,152.4,0.1,Melisa Taylor,Canada,"$2,000",Paintings
I got. to remember,120,150,2.5,Ines Klich,Germany,"$3,350",Paintings
All'alba,75,60,2,Jacek Malinowski,Poland,"$2,970",Paintings
Opposites Attract,61,91.4,5.1,Michael Cutlip,United States,"$3,310",Paintings
"Christmas time - original abstract geometrical oil painting, ready to hang",91,76,3,Yelena Revis,Australia,$890,Paintings
spectral core,76.2,121.9,3.8,Daniil Alikov,Canada,"$2,710",Paintings
L’envolée... II | « THE FLIGHT... II » (2013),100,60,2,Olivier Messas,Germany,"$1,810",Paintings
fungi,33,23,1,John Hacking,Netherlands,$170,Paintings
Eternity,91.4,91.4,2.5,xanthippe tsalimi,United States,"$5,550",Paintings
Old Star#13,78.5,109,0.1,Kim Byungkwan,South Korea,"$2,020",Paintings
"''On The Subway""",121.9,121.9,3.8,Magdalena Krzak,United States,"$3,710",Paintings
Flower Lake 1,100,100,4,Hennie van de Lande,Netherlands,"$2,620",Paintings
"The Meaning Of Life, Series 21 #32",45.7,61,0.3,Heather Goodwind,United States,$920,Paintings
In the mud,80,80,2,Agnieszka Dabrowska,United Kingdom,"$1,440",Paintings
The Elements,61,76.2,1.5,Terrie Yeatts,United States,$967,Paintings
Expedition,100,50,4,Tanja Vetter,Germany,"$2,210",Paintings
Screen tbd5,91.4,152.4,2.5,Melisa Taylor,Canada,"$4,770",Paintings
A blue door,90,120,2,Lilia Orlova-Holmes,United Kingdom,"$5,830",Paintings
Out Of Sight,60,50,3,János Huszti,Hungary,$610,Paintings
City lights,21,28,0.1,Konrad Biro,Hungary,$300,Paintings
#PAPER 27.01.2022,80,120,0.1,Stephane Villafane,Spain,"$3,600",Paintings
Terroire ii - Blue World Series,38,38,4,Sara Willett,United Kingdom,$610,Paintings
California Stripe ABSTRACT GEOMETRIC GRADIENT,50,70,5,Amelia Coward,United Kingdom,"$2,240",Paintings
"Marilyn No. 4, Icon Series III",150,150,4,Mario Henrique,Portugal,"$12,000",Paintings
I loved you forever,100,140,4.5,Luca Brandi,Italy,"$8,910",Paintings
The Miraculous Mandarin,100,140,3,János Huszti,Hungary,"$1,710",Paintings
ASTRAZENACA,54,64,0.2,Igor  Eugen Prokop,Hungary,"$2,510",Paintings
Happiness's wellspring,87.1,127.3,0.3,Rodrigue Semabia,United States,"$1,502",Paintings
Fabric reduction construction,20,15,2,Alex Hanna,United Kingdom,$990,Paintings
Bathers' Joy,40.9,49,0.3,Jelena Djokic,Serbia,$565,Paintings
Sunrise Series Collection 11,61,61,2.5,Hilary Winfield,United States,$695,Paintings
Winter Night (Triptych),91.4,86.4,2.5,Yeachin Tsai,United States,"$2,000",Paintings
Baby I can hold you today,66,41,2,Xiaoyang Galas,France,"$1,310",Paintings
Portrait PS 168 Les 4 coins du coeur SHOW,46,61,2,Bazévian DelaCapucinière,France,"$1,480",Paintings
Monument #2,91.4,121.9,3.8,Jim Ford,United States,"$2,750",Paintings
Storm 2,120,120,3.4,Robert McPartland,United Kingdom,"$9,650",Paintings
Panta rhei,105,140,2,Johanna Bath,Germany,"$2,510",Paintings
The Lady Who Stole My Heart,120,100,3,Edith Torony,Romania,"$4,950",Paintings
LaLa is not entirely convinced that her Rolex is completely waterproof,152.4,121.9,3.8,Brian Nash,United States,"$5,850",Paintings
Herfstvaasje # 6 ( Autumn vase # 6),30,35,2,Alice Brasser,Netherlands,"$1,310",Paintings
Pink floating feelings (-50% special price),100,100,2,Nelly van Nieuwenhuijzen,Netherlands,"$1,160",Paintings
Triumph,125,150,3,Sergey Dyomin,Latvia,"$8,910",Paintings
a little is enough,180,150,2,Gábor Szűcs,Slovakia,"$2,010",Paintings
We've changed,100,120,2,Ines Klich,Germany,"$1,910",Paintings
I GOT YOU,125,165,5,Daniel Bautista,Spain,"$3,540",Paintings
Association 233,205,40,3,Nazarii Medvid,Ukraine,$710,Paintings
Lustrous,76.2,76.2,0.3,Czar Catstick,United Kingdom,"$2,240",Paintings
The old postal office in Ghent; February 2022,80,80,4,Hilde Goossens,Belgium,"$2,585",Paintings
Terrace of Infinity,150,120,3.5,Noemi Safir,Israel,"$13,300",Paintings
Campbellton,61,45.7,1.8,Rodrigue Semabia,United States,$989,Paintings
INSOMINA,165,85,4,Inez Froehlich,Germany,"$2,020",Paintings
Nymphaea I-III [Abstract N°2727-29],120,30,0.5,Koen Lybaert,Belgium,"$1,990",Paintings
Farewell,61,91.4,3.8,Peggy Lee,United States,"$3,110",Paintings
Shelter,40,55,0.1,Kaoru Shibuta,Japan,$280,Paintings
Black and bold XIV,50.8,61,2.5,Theophilus Tetteh,Ghana,"$1,000",Paintings
Sunset,142.2,73.7,2.5,Vahe Yeremyan,United States,"$2,000",Paintings
art sketch Zen ( # 395 ),40.6,50.8,0.5,Harry Moody,United States,$615,Paintings
Castle  & Lake,70,80,3,Catherine Denvir,United Kingdom,"$1,360",Paintings
24012021,81,100,0.1,A Ruiz Villar,Spain,"$3,070",Paintings
Eternal Return,139.7,134.6,0.5,Jonas Fisch,United States,"$5,000",Paintings
The lights of the night,13,18,0.5,Konrad Biro,Hungary,$170,Paintings
SUNSET AT THE CASPIAN SEA - 2020 realistic ocean oil painting,99.1,68.6,2.5,Aflatun Israilov,Turkey,"$4,270",Paintings
Heavenward,30.5,40.6,2.5,William Oxer BA Hons FRSA,United Kingdom,"$1,680",Paintings
Colorfield 11-09-20 Rome,35.5,51,0.1,Joyce Dunn,Italy,$480,Paintings
Initial singularity,140,120,4.4,Gina Parr,United Kingdom,"$8,560",Paintings
"WInd on the Beach, Coconut Palm Trees",61,45.7,0.3,Suren Nersisyan,United States,$340,Paintings
Ana IX,190,130,4,Ximo Gascón,Spain,"$6,550",Paintings
Piling,167.6,195.6,3.8,Larry Graeber,United States,"$14,750",Paintings
California Road Chronicles #75,61,61,3.8,Relja Penezic,United States,"$3,710",Paintings
Simple Thing,121.9,152.4,0.1,János Huszti,Hungary,"$1,710",Paintings
Enjoy,60,60,4,Isabelle Pelletane,France,"$1,230",Paintings
Explosion No 57,60,60,3,Eleni Pratsi,France,$900,Paintings
We Love The Silence of Blue,172.7,203.2,3.8,Stephen Rowe,United States,"$14,550",Paintings
Blending in - 2016,50,69.8,0.3,Denholm Berry,Italy,"$2,000",Paintings
seeing the future clearer,12.7,17.8,0.3,Christy Powers,United States,$790,Paintings
Casablanca,243.8,162.6,0.3,Dariusz Labuzek,United States,"$10,600",Paintings
The Glorious,200,150,5,Veri Apriyatno,Indonesia,"$10,000",Paintings
"Push, Pull, and Uncertainty 5",50.8,76.2,1.8,HyunRyoung Kim,Canada,"$3,290",Paintings
Two tone stripes!,20,90,2,Astrid Stoeppel,Germany,$850,Paintings
Sky Escape 1,45.7,35.6,2.5,William Kroll,United States,$495,Paintings
The Ocean Dance,132.1,50.8,3.3,Yeachin Tsai,United States,"$2,400",Paintings
Lucky Clover,30.5,30.5,3.8,Lisa Carney,Canada,$470,Paintings
Girl with pearls,60,70,3,Romy van Rijckevorsel,Netherlands,"$1,926",Paintings
Lonely woman,80,100,2,Szabo Eszter,Hungary,$640,Paintings
White Out Conditions,76.2,101.6,3.8,Kat Crosby,United States,"$1,270",Paintings
Swing,43,36,0.3,Kaoru Shibuta,Japan,$350,Paintings
Whispers of Happiness,101.6,76.2,0.1,Sharon Pierce McCullough,United States,"$2,810",Paintings
Soft Nature Impression XL 1,154.9,104.9,3.8,Peter Nottrott,Germany,"$2,660",Paintings
Summer rhythm 714,162.6,81.3,0.3,jingshen you,China,"$1,138",Paintings
Water shape III,40,50,2,Grażyna Smalej,Poland,"$1,360",Paintings
UNTITLED,50,50,1,Christoph Schrein,Germany,"$1,800",Paintings
"January 15, 2020 - 3",30,42,0.1,ANNE BORCHARDT,Germany,$290,Paintings
Black Orange No. 2 (On Cork),200,125,4,Carla Sa Fernandes,Portugal,"$9,410",Paintings
Morning,40.6,50.8,5.1,Elyce Abrams,United States,"$1,600",Paintings
The Emotional Creation #261,200,80,4,Carla Sa Fernandes,Portugal,"$5,750",Paintings
Asian girl,60,80,2,Ivan Onnellinen,Latvia,$680,Paintings
Masquerade,80,100,2,Hildegarde Handsaeme,Belgium,"$2,010",Paintings
The sailor of Queen Lucretia,40,40,2,Domenico Antonio Frassineti,Italy,"$1,230",Paintings
The energy of rain,50,39.9,1.8,Igor Zhuk,Germany,"$1,050",Paintings
Untitled,51.5,36.4,2.6,Kazuhiro Higashi,Japan,"$1,000",Paintings
Red Wall,50,50,2,Matthew Carter,New Zealand,$990,Paintings
I cry with the dolphins,114,146,2,Gugi Goo,Portugal,"$6,100",Paintings
Swimming pool,129,88.9,3.8,Sanja Milenkovic,Italy,"$4,000",Paintings
Floracollar V,80,120,4,Teis Albers,Netherlands,"$2,720",Paintings
Watch out,86,61,0.1,Olga Gál,,$540,Paintings
Butterfly,30,30,2,Jitka Anlaufova,Czech Republic,$560,Paintings
higher knowing,97,120,5,yossi kotler,Israel,"$4,275",Paintings
Mysterious Himalaya Landscape 5 -Watercolor on Paper,55.9,38.1,2.5,Samiran Sarkar,India,$680,Paintings
What a Day!,121.9,121.9,3.8,Trixie Pitts,United States,"$2,960",Paintings
The maid (2009/10),30.5,40.1,2,Denholm Berry,Italy,"$1,140",Paintings
Stereoscopy II,70,66,5,Alessandro Papari,Italy,"$2,010",Paintings
Striped Shorts,170,90,3,Susanne Boehm,Germany,"$4,450",Paintings
No Escape From Reality,91.4,121.9,2,Nemanja Nikolic,United Kingdom,"$1,970",Paintings
Summertime,91.5,64,3.5,Rossano Liberatore,Italy,"$2,900",Paintings
Preponderance of the Unknown Truth,152.4,121.9,3.8,Jessica Eichman,United States,"$3,850",Paintings
Shapes (Elemental),170.2,88.9,3.8,Michelle Louis,United States,"$4,190",Paintings
Abstract 954,80,60,0.3,jingshen you,China,$330,Paintings
Salvador Dali IV,61,61,3.8,Sean Ward,United States,"$1,500",Paintings
Groove,50,70.1,0.3,Rossano Liberatore,Italy,$990,Paintings
stranger (238),45,53,2,Cheolhee Lim,South Korea,"$1,100",Paintings
Get Together XL 1,154.9,104.9,3.8,Peter Nottrott,Germany,"$2,760",Paintings
Into Infinity,228.6,182.9,0.3,Kenny Nguyen,United States,"$12,750",Paintings
"Receptor, Series 30 #49",50.8,40.6,3.8,Heather Goodwind,United States,"$1,180",Paintings
Quatrefoil Variations,50.8,50.8,3.8,karen clark,United States,$665,Paintings
Delft Garden 4,30.5,45.7,0.3,Christine So,United States,$225,Paintings
The stokers of Queen Lucretia,50,40,2,Domenico Antonio Frassineti,Italy,"$1,530",Paintings
Female faces moods series,30,40,0.1,Konrad Biro,Hungary,$710,Paintings
"contemplation 1, triptych, 2020-2006-1-3",366,195,6.5,Robert H N Rich Niesse,Germany,"$15,000",Paintings
Enraciné - Small abstract painting on paper,30.5,40.6,0.3,Chantal Proulx,Canada,$260,Paintings
Let The Sun Shine L 3,83.1,154.9,3.8,Peter Nottrott,Germany,"$2,260",Paintings
Blue Bay | Galley Bay,40,30,2,Yuliya Martynova,United Kingdom,"$1,090",Paintings
Evanescence,126,91,4.5,Franko Tencic,Croatia,"$1,320",Paintings
Silver Backbone,101.6,101.6,5.1,Matthew Dibble,United States,"$1,960",Paintings
Tomorrow is a Million Years,90,60,3,Baldvin Ringsted,United Kingdom,"$1,880",Paintings
Last Days of Summer,121.9,152.4,6.3,Jim Ford,United States,"$5,350",Paintings
SCRAPING THE SKY,91.4,91.4,3.8,Tatiana Iliina,Canada,"$2,010",Paintings
Sunset Snap,100,100,3.5,Matteo Cassina,Italy,"$1,160",Paintings
A DOG II,89,89,2.5,Tomasa Martin,Spain,"$5,350",Paintings
True Love,152.4,182.9,2.5,Iarca Gallery,United States,"$9,500",Paintings
STATIC & SILENCE II - FOLK SONG,76.2,76.2,5.1,Raul de la Torre,United States,"$1,970",Paintings
Fresh Biscuits,138,103,3,Alan Fears,United Kingdom,"$9,850",Paintings
Schlafes Flug,150,100,2,Skadi Engeln,Germany,"$3,270",Paintings
"Corrections, Delancey St. #62",46,54,2,Louise Langgaard,Denmark,"$2,090",Paintings
Planet Garden of delights,100,100,1.5,Grażyna Smalej,Poland,"$4,270",Paintings
Almonds,46,61,4,Annabel Andrews,Spain,"$1,660",Paintings
Red cross | Cycle of paintings Ménage,250,250,4,Dusa Jesih,Slovenia,"$9,800",Paintings
