Name,Width,Height,Depth,Artist Name,Country,Price,Category
Formation - Limited Edition of 15,61,40.6,0.3,Mallory Morrison,United States,"$1,700",Photographs
Dilemma - Limited edition 4/20,50,50,0.1,Alessandra Favetto,Spain,$710,Photographs
"ORANGE BABY , limited 1 of 15",73.2,99.8,0.2,Bojan Jevtić,Serbia,"$1,088",Photographs
ADVERT '12 Limited Edition 3 of 10,100,75,0.1,Gonçalo Castelo Branco,Portugal,"$1,900",Photographs
"Nimbus II, Limited Edition of 10",80,80,0.1,Florian W Mueller,Germany,"$1,260",Photographs
"who knows where he comes from, he knows where he goes - Limited Edition 2 of 30",40,40,1,Kasia Derwinska,Spain,$740,Photographs
Bric-à-Brac (Brooklyn) - Limited Edition of 7,76.2,50.8,0.3,Daniel Freed,,$885,Photographs
Colors of the fall - Limited Edition of 8,98,64,0.1,Viet Ha Tran,Spain,"$2,710",Photographs
Untitled (Sidewinder) - Limited Edition of 5,55.9,57.9,0.3,Stefanie Schneider,United States,"$2,010",Photographs
Dream- Limited edition 1/20,40.6,40.6,1.5,Ezra Bejar,United States,$615,Photographs
Dream has faded,70,100,0.1,Federico Bebber,Italy,"$1,410",Photographs
The Red bench Limited Edition 15 Printed on archival materials. Ultra premium photo paper Fiber paper of luster archival materials.,33,48.3,0.6,Pedro Abreu,United States,$855,Photographs
ALL THE WORLD LOVES LOVERS '11 Limited Edition 1 of 10,75,100,0.1,Gonçalo Castelo Branco,Portugal,"$1,900",Photographs
Mediterranean Morocco3 - Limited Edition of 9,101.6,55.9,0.3,Abderrahim El Asraoui,Canada,"$2,280",Photographs
JOSHUA TREE - ROSE - Limited Edition of 10,101.6,101.6,2.5,Kristin Hart,United States,"$2,070",Photographs
the risk - Limited Edition 1 of 20,40,40,0.1,Kasia Derwinska,Spain,$740,Photographs
RIVERBEDS V - Limited Edition of 25,101.6,76.2,0.3,Jin-Woo Prensena,United States,"$3,710",Photographs
What if These Were Legs - 2 (small) - Limited Edition #1 of 8,60,49,0.1,Vikram Kushwah,United Kingdom,"$1,330",Photographs
Miss Bouncy #16,127,190.5,0.3,Cody Choi,United Kingdom,"$2,955",Photographs
Bloodline - Limited Edition of 15,144.8,96.5,0.3,Drew Doggett,United States,"$9,225",Photographs
Oregon (Strange Love) - Limited Edition of 10,38.1,27.9,0.3,Stefanie Schneider,United States,$665,Photographs
Tranquil Winter Mountains I (84x119cm) - Limited Edition of 25,118.9,84.1,0.1,Tom Hanslien,United Kingdom,"$1,870",Photographs
Time Lapse. Sunnyside Portland - Limited Edition of 25,50.8,76.2,0.3,Xan Padron,United States,$725,Photographs
Empire State - Limited Edition of 20,76.2,76.2,0.3,Nadia Attura,United Kingdom,"$1,550",Photographs
Highways and byways (limited edition of 5),75,100,2,Ivana Vostrakova,Czech Republic,"$1,990",Photographs
Uncharted Heights - Limited Edition of 2/1AP,225,150,0.7,Cheraine Collette,Netherlands,"$39,000",Photographs
Not all that glitters is gold - Limited Edition of 20,59.9,70.1,0.3,Fares Micue,Spain,$770,Photographs
HARMONY SPRING (SMALL) Limited Edition of 15,40,40,0.1,Miss Aniela,United Kingdom,$980,Photographs
Blue Island Dance - Limited Edition of 10,152.4,50.8,0.3,Lynne Douglas,United Kingdom,"$1,090",Photographs
Human Convergence - Limited Edition of 10,100,100,3,Sven Pfrommer,Germany,"$2,100",Photographs
CURVES #19. - Limited Edition of 10,60,60,0.3,Michal Zahornacky,Slovakia,"$1,520",Photographs
Life after lava - Etna Volcanos - 1 - Limited Edition 2 of 15,80,80,0.2,Giuseppe Lo Schiavo,Italy,"$2,950",Photographs
How deep is your love?,63,94,0.1,Viet Ha Tran,Spain,"$2,210",Photographs
Dizziness (limited edition of 5),75,100,2,Ivana Vostrakova,Czech Republic,"$2,990",Photographs
Here Comes The Sun (No. 1 of 5),100,100,1,Paul Brouns,Netherlands,"$2,970",Photographs
sleep - Limited Edition of 10,50,50,1,Igor Vitomirov,Sweden,$940,Photographs
Exercise (Suburbia) - Limited Edition of 10,35.6,35.6,0.3,Stefanie Schneider,United States,$615,Photographs
Hebridean Summer - Limited Edition of 10,121.9,121.9,0.3,Lynne Douglas,United Kingdom,"$1,380",Photographs
gracious view - Limited Edition of 4,60,80,0.1,Petra Senn,Germany,"$2,710",Photographs
Jurassic Coast England # 8 - Limited Edition of 100,149.9,224.8,0.3,M Tchaikovsky,United Kingdom,"$2,899",Photographs
Early Spring - Limited Edition 2 of 10,101.6,152.4,0.3,Journey Gong,United States,"$1,395",Photographs
HONG KONG SIGNS IV,140,70,3,Sven Pfrommer,Germany,"$2,490",Photographs
Veronika - LIMITED EDITION 1/10,60,60,0.1,Michal Zahornacky,Slovakia,"$1,050",Photographs
Withe Clinic,165,110,0.1,ERNEST Sebastien,Belgium,"$3,470",Photographs
NEW JAM I,150,50,5,Sven Pfrommer,Germany,"$1,290",Photographs
Simba Simba - Limited Edition of 15,121.9,81.3,0.3,Drew Doggett,United States,"$5,815",Photographs
Little Darlings (Till Death do us Part) - Limited Edition of 10,38.1,27.9,0.3,Stefanie Schneider,United States,$815,Photographs
Dream On- Portrait of a Woman with Strange Pet //Joseph Wright (Wright of Derby) - Limited Edition of 15,40,50,0.1,Marlies Plank,Austria,$920,Photographs
Right This Time - Limited Edition of 1,50.8,55.9,0.3,Rachelmauricio Castro,Brazil,$690,Photographs
for better times - Limited Edition 1 of 20,40,40,0.1,Kasia Derwinska,Spain,$660,Photographs
holding on and letting go,40,50,2,Sarah Stokes,United Kingdom,$610,Photographs
Holland is beautiful,50,50,0.4,Boris Novak,Netherlands,$790,Photographs
Pilgrim (limited edition of 5),75,100,2,Ivana Vostrakova,Czech Republic,"$1,990",Photographs
Miss Shyness - Limited Edition #8/30 + 2 AP,81,81,0.1,Christoffer Relander,Finland,"$1,260",Photographs
Dream On // Dancing Class -E.Degas - Limited Edition of 15,60,42,0.1,Marlies Plank,Austria,"$1,260",Photographs
Night Adventure - Limited Edition of 10,100.1,100.1,0.3,Carlos Canet Fortea,Spain,"$2,970",Photographs
The Hidden Woman - Limited Edition of 1,100,102,0.2,Mona Vayda,India,"$1,560",Photographs
Union,50.8,48.3,0.3,Javiera Estrada,United States,$980,Photographs
Hope - Limited Edition of 5,75,100,2,Ivana Vostrakova,Czech Republic,"$1,990",Photographs
Eyeliner Stratagem - Limited Edition 2 of 5,139.7,139.7,0.3,Daniel Freed,,"$3,785",Photographs
Portrait 46: Rousseau. LARGE - Limited Edition of 6,61,81.3,0.3,Roberto Voorbij,Netherlands,$500,Photographs
Anxiety - Limited Edition of 30,50,50,0.3,Fares Micue,Spain,$580,Photographs
Soapbubble Studies// Pale di San Martino 70x100 - Limited Edition,100,70,1,Marlies Plank,Austria,"$1,460",Photographs
The Witch - Limited Edition 2 of 10,50,50,0.1,Emilie Möri,France,$520,Photographs
Mondrianesque - limited edition 2 of 8,70,70,3,Paul Brouns,Netherlands,"$2,610",Photographs
Beach scene 06 – Edition of 6,171,100,1,Yigal Pardo,Israel,"$2,975",Photographs
Selfie// limited edition,94,64,5,Marlies Plank,Austria,"$2,970",Photographs
PARIS XXI,140,70,5,Sven Pfrommer,Germany,"$1,700",Photographs
Oranges and Sunshine (large size),90,110,0.1,Vikram Kushwah,United Kingdom,"$2,290",Photographs
New Modern Season,52.1,59.9,0.3,Carlos Canet Fortea,Spain,$850,Photographs
When You’re Guided by a Spirit of Transparency #03,70,100,0.1,Tomasz Cichowski,Poland,$760,Photographs
TORN TALE (LARGE) Limited Edition of 5,90,122,0.1,Miss Aniela,United Kingdom,"$5,150",Photographs
RED & AMBER (MEDIUM) Limited Edition of 5,62,74,0.1,Miss Aniela,United Kingdom,"$3,700",Photographs
the Surrender - Limited Edition of 7,66.7,100,0.1,Alessandro Passerini,Italy,"$1,090",Photographs
ENE - Limited Edition of 7,68.6,68.6,0.3,Javiera Estrada,United States,"$1,970",Photographs
"Be Eggsillant, Small - Limited Edition of 50",35.6,35.6,0.3,Simon McCheung,United Kingdom,$630,Photographs
The work starts inside - Limited Edition of 10,59.9,78.7,0.3,Fares Micue,Spain,$810,Photographs
URBAN MOVER II - Limited Edition of 10,160,80,3,Sven Pfrommer,Germany,"$2,060",Photographs
Intense With Dots - Limited Edition of 25,54,79.5,0.3,Glen Sweeney,Austria,$761,Photographs
Mermaid in Ibiza XII - Limited Edition of 7,70,105,0.1,Viet Ha Tran,Spain,"$2,210",Photographs
Weimaraners- limited edition of 15 prints,48,60,0.3,Maja Hrnjak,Croatia,$610,Photographs
black tower,55,80,0.1,IVONA ZUBAK,Slovakia,"$1,360",Photographs
BLUSH / Limited Edition of 7,121.9,121.9,0.3,Ysabel LeMay,United States,"$8,800",Photographs
The Watch - Limited Edition of 15,81.3,121.9,0.3,Drew Doggett,United States,"$5,815",Photographs
Missing you - Limited Edition of 15,85,110,0.2,Bojan Jevtić,Serbia,"$1,253",Photographs
No reason to leave #1 - Limited Edition of 1,128,71,2,Jens Kohlen,Germany,"$1,449",Photographs
Skyefall II  CHROMALUXE METAL - Limited Edition 2 of 10,152.4,101.6,2.5,Lynne Douglas,United Kingdom,"$4,850",Photographs
"Train Track, edition of 1",66,66,0.1,Sander Steins,Netherlands,"$1,360",Photographs
Stars falling over afternoon dreams. Limited edition 3 of 6,110,110,5,Alfonso Batalla,Spain,"$4,450",Photographs
Composition IV /Transformation/ - Limited Edition. Print 1 of 6.,30,35,0.1,Joanna Mlącka,Poland,$810,Photographs
Albert Einstein - Edition 2 of 5,50,50,1,Tomas Urbelionis,Lithuania,"$2,210",Photographs
Portrait 63: Gauguin. LARGE,61,81.3,0.3,Roberto Voorbij,Netherlands,$500,Photographs
Flatiron Building NYC,60,85,0.1,IVONA ZUBAK,Slovakia,"$1,360",Photographs
The Games we played (Till Death do us Part) - Limited Edition of 10,20,20,0.3,Stefanie Schneider,United States,$425,Photographs
#parKlife tiMeL@pse - Limited Edition 3 of 40,86.4,86.4,0.3,Richard Skelton,United Kingdom,$940,Photographs
